id,device_id,param_key,value_numeric,value_text,unit,source,effective_from,effective_to,created_at,updated_at
1330,1,rated_frequency,50,,Hz,自适应SQL脚本生成,,,2025-10-31 02:28:01.628399+08,2025-10-31 02:28:01.628399+08
1331,1,poles_pair,2,,,自适应SQL脚本生成,,,2025-10-31 02:28:01.628399+08,2025-10-31 02:28:01.628399+08
1332,1,rated_efficiency,0.78,,,自适应SQL脚本生成,,,2025-10-31 02:28:01.628399+08,2025-10-31 02:28:01.628399+08
1333,1,rated_flow,400,,m3/h,自适应SQL脚本生成,,,2025-10-31 02:28:01.628399+08,2025-10-31 02:28:01.628399+08
1334,1,rated_head,25,,m,自适应SQL脚本生成,,,2025-10-31 02:28:01.628399+08,2025-10-31 02:28:01.628399+08
1335,1,eta_motor,0.93,,,自适应SQL脚本生成,,,2025-10-31 02:28:01.628399+08,2025-10-31 02:28:01.628399+08
1336,1,eta_vfd,0.97,,,自适应SQL脚本生成,,,2025-10-31 02:28:01.628399+08,2025-10-31 02:28:01.628399+08
1337,2,rated_frequency,50,,Hz,自适应SQL脚本生成,,,2025-10-31 02:28:01.628399+08,2025-10-31 02:28:01.628399+08
1338,2,poles_pair,2,,,自适应SQL脚本生成,,,2025-10-31 02:28:01.628399+08,2025-10-31 02:28:01.628399+08
1339,2,rated_efficiency,0.78,,,自适应SQL脚本生成,,,2025-10-31 02:28:01.628399+08,2025-10-31 02:28:01.628399+08
1340,2,rated_flow,400,,m3/h,自适应SQL脚本生成,,,2025-10-31 02:28:01.628399+08,2025-10-31 02:28:01.628399+08
1341,2,rated_head,25,,m,自适应SQL脚本生成,,,2025-10-31 02:28:01.628399+08,2025-10-31 02:28:01.628399+08
1342,2,eta_motor,0.93,,,自适应SQL脚本生成,,,2025-10-31 02:28:01.628399+08,2025-10-31 02:28:01.628399+08
1343,2,eta_vfd,0.97,,,自适应SQL脚本生成,,,2025-10-31 02:28:01.628399+08,2025-10-31 02:28:01.628399+08
1344,3,rated_frequency,50,,Hz,自适应SQL脚本生成,,,2025-10-31 02:28:01.628399+08,2025-10-31 02:28:01.628399+08
1345,3,poles_pair,2,,,自适应SQL脚本生成,,,2025-10-31 02:28:01.628399+08,2025-10-31 02:28:01.628399+08
1346,3,rated_efficiency,0.78,,,自适应SQL脚本生成,,,2025-10-31 02:28:01.628399+08,2025-10-31 02:28:01.628399+08
1347,3,rated_flow,400,,m3/h,自适应SQL脚本生成,,,2025-10-31 02:28:01.628399+08,2025-10-31 02:28:01.628399+08
1348,3,rated_head,25,,m,自适应SQL脚本生成,,,2025-10-31 02:28:01.628399+08,2025-10-31 02:28:01.628399+08
1349,3,eta_motor,0.93,,,自适应SQL脚本生成,,,2025-10-31 02:28:01.628399+08,2025-10-31 02:28:01.628399+08
1350,3,eta_vfd,0.97,,,自适应SQL脚本生成,,,2025-10-31 02:28:01.628399+08,2025-10-31 02:28:01.628399+08
1351,4,rated_frequency,50,,Hz,自适应SQL脚本生成,,,2025-10-31 02:28:01.628399+08,2025-10-31 02:28:01.628399+08
1352,4,poles_pair,2,,,自适应SQL脚本生成,,,2025-10-31 02:28:01.628399+08,2025-10-31 02:28:01.628399+08
1353,4,rated_efficiency,0.78,,,自适应SQL脚本生成,,,2025-10-31 02:28:01.628399+08,2025-10-31 02:28:01.628399+08
1354,4,rated_flow,400,,m3/h,自适应SQL脚本生成,,,2025-10-31 02:28:01.628399+08,2025-10-31 02:28:01.628399+08
1355,4,rated_head,25,,m,自适应SQL脚本生成,,,2025-10-31 02:28:01.628399+08,2025-10-31 02:28:01.628399+08
1356,4,eta_motor,0.93,,,自适应SQL脚本生成,,,2025-10-31 02:28:01.628399+08,2025-10-31 02:28:01.628399+08
1357,4,eta_vfd,0.97,,,自适应SQL脚本生成,,,2025-10-31 02:28:01.628399+08,2025-10-31 02:28:01.628399+08
1358,5,rated_frequency,50,,Hz,自适应SQL脚本生成,,,2025-10-31 02:28:01.628399+08,2025-10-31 02:28:01.628399+08
1359,5,poles_pair,2,,,自适应SQL脚本生成,,,2025-10-31 02:28:01.628399+08,2025-10-31 02:28:01.628399+08
1360,5,rated_efficiency,0.78,,,自适应SQL脚本生成,,,2025-10-31 02:28:01.628399+08,2025-10-31 02:28:01.628399+08
1361,5,rated_flow,400,,m3/h,自适应SQL脚本生成,,,2025-10-31 02:28:01.628399+08,2025-10-31 02:28:01.628399+08
1362,5,rated_head,25,,m,自适应SQL脚本生成,,,2025-10-31 02:28:01.628399+08,2025-10-31 02:28:01.628399+08
1363,5,eta_motor,0.93,,,自适应SQL脚本生成,,,2025-10-31 02:28:01.628399+08,2025-10-31 02:28:01.628399+08
1364,5,eta_vfd,0.97,,,自适应SQL脚本生成,,,2025-10-31 02:28:01.628399+08,2025-10-31 02:28:01.628399+08
1365,6,rated_frequency,50,,Hz,自适应SQL脚本生成,,,2025-10-31 02:28:01.628399+08,2025-10-31 02:28:01.628399+08
1366,6,poles_pair,2,,,自适应SQL脚本生成,,,2025-10-31 02:28:01.628399+08,2025-10-31 02:28:01.628399+08
1367,6,rated_efficiency,0.78,,,自适应SQL脚本生成,,,2025-10-31 02:28:01.628399+08,2025-10-31 02:28:01.628399+08
1368,6,rated_flow,400,,m3/h,自适应SQL脚本生成,,,2025-10-31 02:28:01.628399+08,2025-10-31 02:28:01.628399+08
1369,6,rated_head,25,,m,自适应SQL脚本生成,,,2025-10-31 02:28:01.628399+08,2025-10-31 02:28:01.628399+08
1370,6,eta_motor,0.93,,,自适应SQL脚本生成,,,2025-10-31 02:28:01.628399+08,2025-10-31 02:28:01.628399+08
1371,6,eta_vfd,0.97,,,自适应SQL脚本生成,,,2025-10-31 02:28:01.628399+08,2025-10-31 02:28:01.628399+08
1372,7,pipe_diameter,0.40,,m,自适应SQL脚本生成,,,2025-10-31 02:28:01.628399+08,2025-10-31 02:28:01.628399+08
1373,7,pipe_length,150.0,,m,自适应SQL脚本生成,,,2025-10-31 02:28:01.628399+08,2025-10-31 02:28:01.628399+08
1374,7,roughness_rel,0.0005,,,自适应SQL脚本生成,,,2025-10-31 02:28:01.628399+08,2025-10-31 02:28:01.628399+08
1375,7,C_hazen,120,,,自适应SQL脚本生成,,,2025-10-31 02:28:01.628399+08,2025-10-31 02:28:01.628399+08
