id,metric_key,unit,unit_display,获取情况,是否计算补充
20,pump_torque,n.m,泵扭矩,不能,需要
17,pump_efficiency,%,泵效率,不能,需要
16,pump_head,M,泵扬程,不能,需要
19,pump_speed,rpm,泵转速,不能,需要
61,main_pipeline_Inlet_pressure,MPa,总管进口压力,不能,不需要
12,pump_outlet_pressure,MPa,泵出口压力,可能,需要
10,pump_power_factor,,泵功率因数,可能,不需要
13,pump_Inlet_pressure,MPa,泵进口压力,可能,需要
15,pump_cumulative_flow,m3,泵累计流量,可能,需要
14,pump_flow_rate,m3/H,泵瞬时流量,可能,需要
11,main_pipeline_outlet_pressure,MPa,总管出口压力,可能,需要
3,pump_current_a,A,泵A相电流,可以,不需要
2,pump_voltage_a,V,泵A相电压,可以,不需要
5,pump_current_b,A,泵B相电流,可以,不需要
4,pump_voltage_b,V,泵B相电压,可以,不需要
7,pump_current_c,A,泵C相电流,可以,不需要
6,pump_voltage_c,V,泵C相电压,可以,不需要
1,pump_frequency,Hz,泵变频器频率,可以,不需要
43,pump_motor_temperature_sensor_1,c,泵电机温度传感器1,可以,不需要
44,pump_motor_temperature_sensor_2,c,泵电机温度传感器2,可以,不需要
45,pump_motor_temperature_sensor_3,c,泵电机温度传感器3,可以,不需要
46,pump_motor_temperature_sensor_4,c,泵电机温度传感器4,可以,不需要
47,pump_motor_temperature_sensor_5,c,泵电机温度传感器5,可以,不需要
48,pump_motor_temperature_sensor_6,c,泵电机温度传感器6,可以,不需要
35,pump_motor_vibration_sensor_1,mm/s,泵电机震动传感器1,可以,不需要
36,pump_motor_vibration_sensor_2,mm/s,泵电机震动传感器2,可以,不需要
37,pump_motor_vibration_sensor_3,mm/s,泵电机震动传感器3,可以,不需要
38,pump_motor_vibration_sensor_4,mm/s,泵电机震动传感器4,可以,不需要
39,pump_motor_vibration_sensor_5,mm/s,泵电机震动传感器5,可以,不需要
40,pump_motor_vibration_sensor_6,mm/s,泵电机震动传感器6,可以,不需要
41,pump_motor_vibration_sensor_7,mm/s,泵电机震动传感器7,可以,不需要
42,pump_motor_vibration_sensor_8,mm/s,泵电机震动传感器8,可以,不需要
9,pump_kwh,kWh,泵电量,可以,不需要
29,pump_temperature_sensor_1,c,泵温度传感器1,可以,不需要
30,pump_temperature_sensor_2,c,泵温度传感器2,可以,不需要
31,pump_temperature_sensor_3,c,泵温度传感器3,可以,不需要
32,pump_temperature_sensor_4,c,泵温度传感器4,可以,不需要
33,pump_temperature_sensor_5,c,泵温度传感器5,可以,不需要
34,pump_temperature_sensor_6,c,泵温度传感器6,可以,不需要
8,pump_active_power,kW,泵有功功率,可以,不需要
21,pump_vibration_sensor_1,mm/s,泵震动传感器1,可以,不需要
22,pump_vibration_sensor_2,mm/s,泵震动传感器2,可以,不需要
23,pump_vibration_sensor_3,mm/s,泵震动传感器3,可以,不需要
24,pump_vibration_sensor_4,mm/s,泵震动传感器4,可以,不需要
25,pump_vibration_sensor_5,mm/s,泵震动传感器5,可以,不需要
26,pump_vibration_sensor_6,mm/s,泵震动传感器6,可以,不需要
27,pump_vibration_sensor_7,mm/s,泵震动传感器7,可以,不需要
28,pump_vibration_sensor_8,mm/s,泵震动传感器8,可以,不需要
64,device_running,,设备运行状态,可以,不需要
18,pool_liquid_level,M,水池液位,可以,不需要
49,water_temperature,c,水温,可以,不需要
63,main_pipeline_cumulative_flow,m3,总管累积流量,可以,不需要
62,main_pipeline_flow_rate,m3/h,总管瞬时流量,可以,不需要
