metric_key,acquisition_status,compute_flag,updated_by
pump_torque,不能,需要,sys
pump_efficiency,不能,需要,sys
pump_head,不能,需要,sys
pump_speed,不能,需要,sys
main_pipeline_inlet_pressure,不能,不需要,sys
pump_outlet_pressure,可能,需要,sys
pump_power_factor,可能,不需要,sys
pump_inlet_pressure,可能,不需要,sys
pump_cumulative_flow,可能,不需要,sys
pump_flow_rate,可能,不需要,sys
main_pipeline_outlet_pressure,可能,不需要,sys
pump_current_a,可以,不需要,sys
pump_voltage_a,可以,不需要,sys
pump_current_b,可以,不需要,sys
pump_voltage_b,可以,不需要,sys
pump_current_c,可以,不需要,sys
pump_voltage_c,可以,不需要,sys
pump_frequency,可以,不需要,sys
pump_motor_temperature_sensor_1,可以,不需要,sys
pump_motor_temperature_sensor_2,可以,不需要,sys
pump_motor_temperature_sensor_3,可以,不需要,sys
pump_motor_temperature_sensor_4,可以,不需要,sys
pump_motor_temperature_sensor_5,可以,不需要,sys
pump_motor_temperature_sensor_6,可以,不需要,sys
pump_motor_vibration_sensor_1,可以,不需要,sys
pump_motor_vibration_sensor_2,可以,不需要,sys
pump_motor_vibration_sensor_3,可以,不需要,sys
pump_motor_vibration_sensor_4,可以,不需要,sys
pump_motor_vibration_sensor_5,可以,不需要,sys
pump_motor_vibration_sensor_6,可以,不需要,sys
pump_motor_vibration_sensor_7,可以,不需要,sys
pump_motor_vibration_sensor_8,可以,不需要,sys
pump_kwh,可以,不需要,sys
pump_temperature_sensor_1,可以,不需要,sys
pump_temperature_sensor_2,可以,不需要,sys
pump_temperature_sensor_3,可以,不需要,sys
pump_temperature_sensor_4,可以,不需要,sys
pump_temperature_sensor_5,可以,不需要,sys
pump_temperature_sensor_6,可以,不需要,sys
pump_active_power,可以,不需要,sys
pump_vibration_sensor_1,可以,不需要,sys
pump_vibration_sensor_2,可以,不需要,sys
pump_vibration_sensor_3,可以,不需要,sys
pump_vibration_sensor_4,可以,不需要,sys
pump_vibration_sensor_5,可以,不需要,sys
pump_vibration_sensor_6,可以,不需要,sys
pump_vibration_sensor_7,可以,不需要,sys
pump_vibration_sensor_8,可以,不需要,sys
device_running,可以,不需要,sys
pool_liquid_level,可以,不需要,sys
water_temperature,可以,不需要,sys
main_pipeline_cumulative_flow,可以,不需要,sys
main_pipeline_flow_rate,可以,不需要,sys

